date,vr,ar
1/6/2013,5,4
1/13/2013,5,4
1/20/2013,5,4
1/27/2013,5,4
2/3/2013,5,4
2/10/2013,5,4
2/17/2013,5,4
2/24/2013,5,4
3/3/2013,5,4
3/10/2013,5,4
3/17/2013,5,3
3/24/2013,5,4
3/31/2013,5,3
4/7/2013,5,4
4/14/2013,5,4
4/21/2013,5,4
4/28/2013,5,4
5/5/2013,5,4
5/12/2013,5,4
5/19/2013,5,3
5/26/2013,5,3
6/2/2013,5,3
6/9/2013,5,3
6/16/2013,5,3
6/23/2013,5,3
6/30/2013,5,3
7/7/2013,5,4
7/14/2013,5,4
7/21/2013,5,3
7/28/2013,5,4
8/4/2013,5,4
8/11/2013,5,4
8/18/2013,5,4
8/25/2013,5,3
9/1/2013,5,3
9/8/2013,5,3
9/15/2013,5,3
9/22/2013,5,3
9/29/2013,5,3
10/6/2013,5,3
10/13/2013,5,3
10/20/2013,5,3
10/27/2013,5,3
11/3/2013,5,3
11/10/2013,5,3
11/17/2013,5,3
11/24/2013,5,3
12/1/2013,5,4
12/8/2013,5,3
12/15/2013,5,3
12/22/2013,5,4
12/29/2013,5,3
1/5/2014,5,3
1/12/2014,5,3
1/19/2014,5,3
1/26/2014,5,3
2/2/2014,5,3
2/9/2014,5,3
2/16/2014,5,3
2/23/2014,5,3
3/2/2014,5,3
3/9/2014,5,3
3/16/2014,7,3
3/23/2014,10,3
3/30/2014,6,3
4/6/2014,6,3
4/13/2014,6,3
4/20/2014,5,3
4/27/2014,5,3
5/4/2014,6,3
5/11/2014,5,3
5/18/2014,5,3
5/25/2014,5,3
6/1/2014,5,3
6/8/2014,6,3
6/15/2014,6,3
6/22/2014,6,3
6/29/2014,6,3
7/6/2014,6,3
7/13/2014,5,3
7/20/2014,6,3
7/27/2014,6,3
8/3/2014,5,3
8/10/2014,6,3
8/17/2014,6,3
8/24/2014,6,3
8/31/2014,8,3
9/7/2014,7,3
9/14/2014,7,3
9/21/2014,6,3
9/28/2014,6,3
10/5/2014,6,3
10/12/2014,6,3
10/19/2014,6,3
10/26/2014,6,3
11/2/2014,6,3
11/9/2014,6,3
11/16/2014,6,3
11/23/2014,6,3
11/30/2014,7,3
12/7/2014,8,3
12/14/2014,7,3
12/21/2014,7,3
12/28/2014,7,3
1/4/2015,7,3
1/11/2015,7,3
1/18/2015,7,3
1/25/2015,9,3
2/1/2015,8,3
2/8/2015,9,3
2/15/2015,8,3
2/22/2015,8,3
3/1/2015,11,3
3/8/2015,9,3
3/15/2015,9,3
3/22/2015,9,3
3/29/2015,8,3
4/5/2015,8,3
4/12/2015,8,3
4/19/2015,10,3
4/26/2015,8,3
5/3/2015,9,3
5/10/2015,9,3
5/17/2015,9,3
5/24/2015,9,3
5/31/2015,9,3
6/7/2015,9,3
6/14/2015,11,3
6/21/2015,10,3
6/28/2015,9,3
7/5/2015,10,3
7/12/2015,10,3
7/19/2015,10,2
7/26/2015,10,2
8/2/2015,10,2
8/9/2015,9,2
8/16/2015,9,2
8/23/2015,9,2
8/30/2015,9,2
9/6/2015,9,3
9/13/2015,11,3
9/20/2015,12,3
9/27/2015,11,2
10/4/2015,11,3
10/11/2015,11,3
10/18/2015,11,3
10/25/2015,12,3
11/1/2015,12,2
11/8/2015,13,3
11/15/2015,13,3
11/22/2015,15,3
11/29/2015,16,3
12/6/2015,18,3
12/13/2015,18,3
12/20/2015,20,3
12/27/2015,19,2
1/3/2016,21,3
1/10/2016,19,2
1/17/2016,17,3
1/24/2016,18,3
1/31/2016,17,3
2/7/2016,17,3
2/14/2016,18,3
2/21/2016,29,3
2/28/2016,27,3
3/6/2016,30,3
3/13/2016,39,3
3/20/2016,38,3
3/27/2016,38,3
4/3/2016,35,3
4/10/2016,33,3
4/17/2016,32,3
4/24/2016,33,3
5/1/2016,30,3
5/8/2016,30,3
5/15/2016,31,3
5/22/2016,32,3
5/29/2016,33,3
6/5/2016,34,3
6/12/2016,47,3
6/19/2016,41,3
6/26/2016,38,3
7/3/2016,39,5
7/10/2016,35,11
7/17/2016,34,9
7/24/2016,32,7
7/31/2016,34,6
8/7/2016,32,6
8/14/2016,32,4
8/21/2016,33,4
8/28/2016,33,4
9/4/2016,33,4
9/11/2016,35,3
9/18/2016,37,4
9/25/2016,37,3
10/2/2016,43,3
10/9/2016,60,3
10/16/2016,58,4
10/23/2016,50,3
10/30/2016,47,3
11/6/2016,44,3
11/13/2016,49,3
11/20/2016,62,3
11/27/2016,59,4
12/4/2016,59,3
12/11/2016,62,3
12/18/2016,71,3
12/25/2016,100,3
1/1/2017,55,3
1/8/2017,44,3
1/15/2017,41,4
1/22/2017,43,3
1/29/2017,40,3
2/5/2017,39,3
2/12/2017,36,3
2/19/2017,36,4
2/26/2017,37,3
3/5/2017,34,3
3/12/2017,33,3
3/19/2017,33,4
3/26/2017,33,3
4/2/2017,33,3
4/9/2017,33,3
4/16/2017,35,4
4/23/2017,35,4
4/30/2017,35,3
5/7/2017,33,3
5/14/2017,34,3
5/21/2017,33,3
5/28/2017,32,3
6/4/2017,33,4
6/11/2017,36,3
6/18/2017,33,3
6/25/2017,34,3
7/2/2017,32,3
7/9/2017,33,3
7/16/2017,32,3
7/23/2017,32,3
7/30/2017,33,3
8/6/2017,32,3
8/13/2017,33,3
8/20/2017,32,3
8/27/2017,32,3
9/3/2017,31,3
9/10/2017,30,5
9/17/2017,30,7
9/24/2017,31,5
10/1/2017,32,4
10/8/2017,32,4
10/15/2017,34,4
10/22/2017,32,4
10/29/2017,33,4
11/5/2017,34,5
11/12/2017,38,4
11/19/2017,49,4
11/26/2017,44,4
12/3/2017,42,4
